2026-02-08 23:52:50 |   DEBUG | compiler | Created BN node 4: features=8
2026-02-08 23:52:50 |   DEBUG | compiler | Created ReLU node 5
2026-02-08 23:52:50 |   DEBUG | compiler | Created Conv2d node 6: in=8 out=8 k=1 s=1 p=0 groups=1
2026-02-08 23:52:50 |   DEBUG | compiler | Created BN node 7: features=8
2026-02-08 23:52:50 |   DEBUG | compiler | Created ReLU node 8
2026-02-08 23:52:50 |    INFO | compiler | Forward pass order: [0, 1, 2, 6, 7, 8, 3, 4, 5]
2026-02-08 23:52:50 |   DEBUG | compiler | Node 0 has no parents — using graph input
2026-02-08 23:52:50 |   DEBUG | compiler | Node 0 produced output shape (2, 8, 32, 32)
2026-02-08 23:52:50 |   DEBUG | compiler | Node 1 produced output shape (2, 8, 32, 32)
2026-02-08 23:52:50 |   DEBUG | compiler | Node 2 produced output shape (2, 8, 32, 32)
2026-02-08 23:52:50 |   DEBUG | compiler | Node 6 produced output shape (2, 8, 32, 32)
2026-02-08 23:52:50 |   DEBUG | compiler | Node 7 produced output shape (2, 8, 32, 32)
2026-02-08 23:52:50 |   DEBUG | compiler | Node 8 produced output shape (2, 8, 32, 32)
2026-02-08 23:52:50 |   DEBUG | compiler | Node 3 produced output shape (2, 8, 32, 32)
2026-02-08 23:52:50 |   DEBUG | compiler | Node 4 produced output shape (2, 8, 32, 32)
2026-02-08 23:52:50 |   DEBUG | compiler | Node 5 produced output shape (2, 8, 32, 32)
2026-02-09 00:02:30 |    INFO | compiler | Initializing CompiledModel
2026-02-09 00:02:30 |    INFO | compiler | Building modules for graph with 3 nodes
2026-02-09 00:02:30 |   DEBUG | compiler | Created Conv2d node 0: in=3 out=16 k=3 s=1 p=1 groups=1
2026-02-09 00:02:30 |   DEBUG | compiler | Created BN node 1: features=16
2026-02-09 00:02:30 |   DEBUG | compiler | Created ReLU node 2
2026-02-09 00:02:30 |    INFO | compiler | Forward pass order: [0, 1, 2]
2026-02-09 00:02:30 |   DEBUG | compiler | Node 0 has no parents — using graph input
2026-02-09 00:02:30 |   DEBUG | compiler | Node 0 produced output shape (1, 16, 32, 32)
2026-02-09 00:02:30 |   DEBUG | compiler | Node 1 produced output shape (1, 16, 32, 32)
2026-02-09 00:02:30 |   DEBUG | compiler | Node 2 produced output shape (1, 16, 32, 32)
2026-02-09 00:03:39 |    INFO | compiler | Initializing CompiledModel
2026-02-09 00:03:39 |    INFO | compiler | Building modules for graph with 3 nodes
2026-02-09 00:03:39 |   DEBUG | compiler | Created Conv2d node 0: in=3 out=8 k=3 s=1 p=1 groups=1
2026-02-09 00:03:39 |   DEBUG | compiler | Created BN node 1: features=8
2026-02-09 00:03:39 |   DEBUG | compiler | Created ReLU node 2
2026-02-09 00:03:39 |    INFO | compiler | Forward pass order: [0, 1, 2]
2026-02-09 00:03:39 |   DEBUG | compiler | Node 0 has no parents — using graph input
2026-02-09 00:03:39 |   DEBUG | compiler | Node 0 produced output shape (1, 8, 32, 32)
2026-02-09 00:03:39 |   DEBUG | compiler | Node 1 produced output shape (1, 8, 32, 32)
2026-02-09 00:03:39 |   DEBUG | compiler | Node 2 produced output shape (1, 8, 32, 32)
2026-02-09 00:03:39 |    INFO | compiler | Initializing CompiledModel
2026-02-09 00:03:39 |    INFO | compiler | Building modules for graph with 3 nodes
2026-02-09 00:03:39 |   DEBUG | compiler | Created Conv2d node 0: in=3 out=4 k=3 s=1 p=1 groups=1
2026-02-09 00:03:39 |   DEBUG | compiler | Created BN node 1: features=8
2026-02-09 00:03:39 |   DEBUG | compiler | Created ReLU node 2
2026-02-09 00:03:39 |    INFO | compiler | Forward pass order: [0, 1, 2]
2026-02-09 00:03:39 |   DEBUG | compiler | Node 0 has no parents — using graph input
2026-02-09 00:03:39 |   DEBUG | compiler | Node 0 produced output shape (1, 4, 32, 32)
2026-02-09 00:03:39 |   ERROR | compiler | Layer forward failed at node 1 op=bn inp_shape=torch.Size([1, 4, 32, 32])
Traceback (most recent call last):
  File "C:\Users\AMOD YADAV\OneDrive\Desktop\VS code fol\xplo\Exploratory-Project\version1\architectures\compiler.py", line 132, in forward
    out = layer(inp)
  File "C:\Users\AMOD YADAV\OneDrive\Desktop\VS code fol\xplo\Exploratory-Project\version1\lemonade_env\Lib\site-packages\torch\nn\modules\module.py", line 1776, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^
